"Name","Description","Lat","Lon"
309,"ATM Secrets Cap Cana I (Reserva Zona Este)",18.48476,-68.39652
310,"ATM Farmacia San Judas Tadeo Jarabacoa",18.468775,-69.894147
311,"ATM Plaza Eroski (Reserva Zona Sur)",17.991286,-71.166651
312,"ATM Autoservicio Tiradentes II Naco (Reserva Zona Metro)(ATM DEPOSITOS 2 MODULOS)",18.477925,-69.927996
315,"ATM Oficina Estrella Sadhalá (Brig. Santiago)",19.473398,-70.694187
318,"ATM Autoservicio Lope de Vega  (Reserva Zona Metro)(ATM DEPOSITOS 1 MODULO)",18.479947,-69.9307188
319,"ATM Autobanco oficina Lope de Vega I (Reserva Zona Metro)",18.479947,-69.9307192
320,"ATM Hotel Dreams Uvero Alto (Reserva Zona Este)",18.802314,-68.575848
327,"ATM UNP S/M Nacional 27 de Febrero (Reserva Zona Metro)",18.465341,-69.929145
333,"ATM Oficina Turey Maimón (Abastece Oficina)",18.90777,-70.278141
335,"ATM Edificio Aster",18.494232,-69.86449
337,"ATM S/M Cooperativo Moca",19.393692,-70.527797
338,"ATM S/M Aprezio Pantoja (Reserva Zona Metro)",18.529865,-69.99758
342,"ATM Autoservicio Oficina Obras Públicas Azua (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.450691,-70.726585
345,"ATM Ofic. Yamasa II (Abastece Oficina)",18.7673,-70.024385
348,"ATM Oficina Las Terrenas II (Abastece Oficina)",19.319626,-69.539016
349,"ATM SENASA",18.4683977,-69.9241139
351,"ATM S/M Jose Luis (Brig. Puerto Plata)",19.793861,-70.685814
353,"ATM Estación Boulevard Juan Dolio (Reserva Zona Este)",18.425555,-69.430752
354,"ATM Oficina Nuñez de Caceres II (Abastece Oficina)",18.459552,-69.95774
356,"ATM Estación Sigma San Cristóbal (Reserva Zona Metro)",18.40749,-70.132274
357,"ATM Universidad Nacional Evangélica (Brig. Santiago)",19.479484,-70.703465
358,"ATM Ayuntamiento Cevico",19.005941,-69.979592
359,"ATM S/M Bravo Ozama (Reserva Zona Metro)",18.495511,-69.862259
361,"ATM Estación Next La Cumbre (Doña Pula)",18.793627,-70.270726
363,"ATM S/M Bravo Villa Mella",18.522685,-69.917569
365,"ATM Centro Medico de Diabetes, Obesidad y Endocrinología (CEMDOE)",18.474559,-69.96765
373,"ATM S/M Tangui Nagua (Brig. Nagua)",19.376002,-69.85448
375,"ATM Base Naval Las Calderas (BANI)",18.214411,-70.514612
376,"ATM Autoservicio Dual Blue Mall III (ATM DEPOSITOS)",18.47269058,-69.94106295
377,"ATM Estación del Metro Eduardo Brito (Reserva Zona Metro)",18.503421,-69.884274
380,"ATM Oficina Navarrete (Abastece Oficina)",19.56127,-70.874932
382,"ATM Estación del Metro Maria Montes",18.478179,-69.968189
385,"ATM Plaza Verón I (Reserva Zona Este) (Abastece Oficina)",18.599938,-68.417806
386,"ATM Plaza Verón II (Abastece Oficina)",18.599937,-68.417782
394,"ATM Multicentro La Sirena Luperón (Reserva Zona Metro)",18.466415,-69.969639
395,"ATM UNP Sabana Iglesia (Abastece Oficina)",19.321649,-70.753794
396,"ATM Oficina Plaza Ulloa La Fuente (Abastece Oficina)",19.429833,-70.690347
399,"ATM Oficina La Romana II (Abastece Oficina)",18.425374,-68.967731
402,"ATM Multicentro La Sirena La Vega (Brig. La Vega)",19.225284,-70.517336
403,"ATM Oficina Vicente Noble (Reserva Zona Sur)",18.383935,-71.179711
407,"ATM Multicentro La Sirena Villa Mella (Reserva Zona Metro)",18.544638,-69.899624
408,"ATM Autobanco Las Palmas de Herrera (Reserva Zona Metro)",18.477741,-69.975116
409,"ATM Oficina Las Palmas de Herrera I (Abastece Oficina)",18.47776,-69.975132
410,"ATM Autoservicio Las Palmas de Herrera II (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.47776,-69.975103
411,"ATM UNP Piedra Blanca Bonao (Abastece Oficina)",18.84578,-70.316721
413,"ATM UNP Las Galeras Samaná",19.288546,-69.199979
414,"ATM Oficina Villa Francisca II (Abastece Oficina)",18.480949,-69.890257
415,"ATM Autobanco Of. San Martin I (Reserva Zona Metro)",18.482743,-69.909142
416,"ATM Autobanco San Martín II (Reserva Zona Metro)",18.482759,-69.909134
420,"ATM DGII Av. Lincoln (Reserva Zona Metro)",18.47554,-69.935561
427,"ATM Iberia Hato Mayor (Reserva Zona Este)",18.767291,-69.256192
429,"ATM Autoservicio Oficina Jumbo La Romana (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.418935,-68.965996
430,"ATM Autoservicio Oficina Las Matas de Farfán",18.873131,-71.520243
431,"ATM Autoservicio Oficina El Sol (ATM DEPOSITOS 2 MODULOS) (Abastece Oficina)",19.450711,-70.702765
432,"ATM Oficina Puerto Plata II (Abastece Oficina)",19.796876,-70.692368
434,"ATM Generadora Hidroeléctrica Dom. EGEHID (Reserva Zona Metro)",18.457638,-69.939473
435,"ATM Autobanco Torre I (Reserva Zona Metro)",18.467556,-69.938427
436,"ATM Autobanco Torre II (Reserva Zona Metro)",18.467534,-69.938332
438,"ATM Autobanco Torre IV (Reserva Zona Metro)",18.467474,-69.938416
441,"ATM Estación Texaco Rómulo Betancourt (Reserva Zona Este)",18.44587,-69.967257
446,"ATM Hipódromo V Centenario (Reserva Zona Metro)",18.480275,-69.774515
449,"ATM Autobanco Oficina Lope de Vega II (Reserva Zona Metro)",18.479947,-69.9307194
454,"ATM UNP Partido Dajabón",19.483081,-71.546772
458,"ATM Hospital Dario Contreras (Reserva Zona Metro)",18.485543,-69.8634
461,"ATM Autobanco Sarasota I (Reserva Zona Metro)",18.451156,-69.947799
462,"ATM Agrocafe del Caribe (Reserva Zona Este)",18.843933,-69.329811
463,"ATM Multicentro La Sirena El Embrujo (Brig. Santiago)",19.443129,-70.669636
479,"ATM Estación Next Yapur Dumit",,
480,"ATM UNP Farmaconal Higuey (Reserva Zona Este)",18.614456,-68.719178
486,"ATM UNP Olé La Caleta (Reserva Zona Metro)",18.45124,-69.672035
489,"ATM Aeropuerto El Catey Samaná",19.268471,-69.729886
492,"ATM S/M Nacional El Dorado Santiago",19.46662,-70.66256
493,"ATM Autoservicio Oficina Haina Occidental II (Reserva Zona Metro)(ATM DEPOSITOS 2 MODULOS)",18.416137,-70.029471
497,"ATM Ofic. El Portal II (Abastece Oficina)",19.439913,-70.687672
500,"ATM UNP Cutupú (Brig. La Vega)",19.311409,-70.539986
510,"ATM Ferretería Bellón (Brig. Santiago)",19.455583,-70.664544
513,"ATM UNP Lagunas de Nisibón (Abastece Oficina)",18.837315,-68.669355
514,"ATM Autoservicio Charles de Gaulle (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.50412,-69.826737
516,"ATM Oficina Gascue (Abastece Oficina)",18.466675,-69.895501
518,"ATM Autobanco Los Alamos",19.434755,-70.66086
524,"ATM DNCD (Reserva Zona Metro)",18.472225,-69.913243
527,"ATM Ofic. Zona Oriental II (Abastece Oficina)",18.45137024,-69.66231537
528,"ATM Ferretería Ochoa (Brig. Santiago)",19.46425,-70.711633
535,"ATM Autoservicio Torre (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.467843,-69.938578
536,"ATM Super Lama San Isidro",18.488602,-69.826055
537,"ATM Estación Texaco Enriquillo Barahona (Reserva Zona Sur)",17.895982,-71.236556
538,"ATM Autoservicio San Francisco de Macoris (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",19.297963,-70.258355
540,"ATM Autoservicio Oficina Sambil I (Reserva Zona Metro)(ATM DEPOSITOS 2 MODULOS)",18.482808,-69.911826
541,"ATM Oficina Sambil II (Reserva Zona Metro)",18.482807,-69.911802
545,"ATM Autoservicio Isabel La Católica II  (Centro Cultural Isabel La Catolica) (ATM DEPOSITOS 1 MODULO)",18.47588,-69.883715
546,"ATM ITLA (Reserva Zona Metro)",18.451443,-69.662338
547,"ATM Plaza Lama Herrera (Reserva Zona Metro)",18.475328,-69.971209
551,"ATM Oficina Padre Castellanos (Abastece Oficina)",18.501164,-69.88822
555,"ATM Estación Shell Las Praderas (Reserva Zona Metro)",18.469149,-69.967938
559,"ATM Autoservicio Metro (Reserva Zona Metro)(ATM DEPOSITOS 2 MODULOS)",18.481356,-69.914985
560,"ATM Junta Central Electoral (Reserva Zona Metro)",18.449413,-69.976198
561,"ATM Comando Regional P.N. S.D. Este (Reserva Zona Metro)",18.5071,-69.818748
563,"ATM Base Aérea San Isidro (Reserva Zona Metro)",18.504061,-69.762037
565,"ATM S/M La Cadena Núñez de Caceres (Reserva Zona Metro)",18.468955,-69.960205
566,"ATM Hiper Olé Aut. Duarte I (Reserva Zona Metro)",18.53374,-70.012057
567,"ATM Oficina Máximo Gómez (Abastece Oficina)",18.460826,-69.908179
568,"ATM Ministerio de Educación (Reserva Zona Metro)",18.463217,-69.908885
569,"ATM Superintendencia de Seguros (Reserva Zona Metro)",18.473793,-69.907669
570,"ATM S/M Liverpool Villa Mella (Reserva Zona Metro)",18.56149673,-69.90509796
571,"ATM Hospital Central FF. AA. (Reserva Zona Metro)",18.480901,-69.921433
575,"ATM EDESUR Tiradentes (Reserva Zona Metro)",18.479478,-69.927926
578,"ATM Procuraduría General de la República (Reserva Zona Metro)",18.470147,-69.922534
582,"ATM Estación Texaco Sabana Yegua (Abastece Oficina)",18.454495,-70.829168
583,"ATM Ministerio Fuerzas Armadas (Reserva Zona Metro)",18.44782829,-69.97409058
587,"ATM Cuerpo de Ayudantes Militares (Reserva Zona Metro)",18.468569,-69.913016
596,"ATM Autobanco Malecon Center (Reserva Zona Metro)",18.45833,-69.908753
600,"ATM S/M Bravo Hipica",18.495192,-69.777506
603,"ATM Zona Franca Santiago II (Brig. Santiago)",19.47735596,-70.72550201
605,"ATM Oficina Bonao I (Abastece Oficina)",18.944177,-70.409982
606,"ATM UNP Manolo Tavarez Justo (Brig. Puerto Plata)",19.788413,-70.697606
608,"ATM Autoservicio Oficina Jumbo San Pedro (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.454396,-69.297586
611,"ATM DGII Sede Central (Reserva Zona Metro)",18.474068,-69.905062
612,"ATM Plaza Orense I La Romana (Reserva Zona Este)",18.605771,-68.71381
613,"ATM Almacenes Zaglul Higuey (Reserva Zona Este)",18.616088,-68.719968
617,"ATM Guardia Presidencial (Reserva Zona Metro)",18.475638,-69.89644
618,"ATM Bienes Nacionales (Reserva Zona Metro)",18.473536,-69.904169
619,"ATM Academia P.N. Hatillo San Cristóbal (Reserva Zona Metro)",18.417535,-70.086016
622,"ATM Ayuntamiento D.N. (Reserva Zona Metro)",18.448181,-69.92699
624,"ATM Policia Nacional I (Reserva Zona Metro)",18.474769,-69.907622
627,"ATM CAASD (Reserva Zona Metro)",18.487023,-69.93959
630,"ATM Oficina Plaza Zaglul San Pedro (Reserva Zona Este)",18.453109,-69.307328
631,"ATM ASOCODEQUI San Pedro (Reserva Zona Este)",18.452487,-69.30846
632,"ATM Autobanco Gurabo (Brig. Santiago)",19.474895,-70.674078
633,"ATM Autobanco Las Colinas (Brig. Santiago)",19.484658,-70.718661
635,"ATM Zona Franca Tamboril (Brig. Santiago)",19.480086,-70.632581
636,"ATM Oficina Tamboril (Abastece Oficina)",19.487031,-70.612564
642,"ATM OMSA Sto. Dgo. (Reserva Zona Metro)",18.480801,-69.996502
643,"ATM Oficina Valerio (Abastece Oficina(Abastece Oficina)",19.453355,-70.709666
645,"ATM UNP Cabrera",19.64092,-69.908431
648,"ATM Hermandad de Pensionados (Reserva Zona Metro)",18.480331,-69.907012
650,"ATM Edificio 911 Santiago (Brig. Santiago)",19.463907,-70.69627
651,"ATM Eco Petróleo La Romana (Reserva Zona Este)",18.411397,-68.99473
654,"ATM Autoservicio S/M Jumbo Puerto Plata (Brig. Puerto Plata)(ATM DEPOSITOS 2 MODULOS)",19.78218,-70.673096
